epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,433.695,0.24607,1.60949,1.01768,0.57658,0.65862,0.65119,0.59374,0.38276,1.39112,0.53547,0.000416343,0.000416343,0.000416343
2,837.091,0.17319,1.15952,0.95376,0.42223,0.66934,0.57377,0.49224,0.34263,1.73479,0.45254,0.000778031,0.000778031,0.000778031
3,1238.52,0.15263,1.08847,0.94269,0.55807,0.6631,0.64846,0.62242,0.26865,1.2412,0.3667,0.00108472,0.00108472,0.00108472
4,1638.26,0.13372,1.02736,0.93328,0.59725,0.74908,0.77967,0.73021,0.32724,1.09867,0.37888,0.0010025,0.0010025,0.0010025
5,2037.77,0.11524,0.97537,0.9223,0.69359,0.7597,0.82443,0.8029,0.27837,0.90252,0.34458,0.00092,0.00092,0.00092
6,2443.74,0.06737,0.83306,0.91783,0.65816,0.73634,0.79223,0.789,0.21252,0.9704,0.2956,0.0008375,0.0008375,0.0008375
7,2843.7,0.05214,0.77091,0.90793,0.73897,0.78403,0.84232,0.84202,0.19645,0.74647,0.26843,0.000755,0.000755,0.000755
8,3244.67,0.0433,0.70392,0.9056,0.71835,0.79556,0.85791,0.85741,0.17356,0.73327,0.22973,0.0006725,0.0006725,0.0006725
9,3647.04,0.04126,0.66245,0.90229,0.80333,0.81759,0.88568,0.88548,0.18464,0.65551,0.24362,0.00059,0.00059,0.00059
10,4053.91,0.0375,0.61845,0.90217,0.81424,0.82435,0.90213,0.9019,0.19051,0.66566,0.25745,0.0005075,0.0005075,0.0005075
11,4582.57,0.03317,0.57912,0.90149,0.82348,0.84112,0.91086,0.90958,0.22579,0.6497,0.31231,0.000425,0.000425,0.000425
12,5107.94,0.03074,0.53338,0.90338,0.82399,0.84637,0.91664,0.91566,0.21704,0.61477,0.2962,0.0003425,0.0003425,0.0003425
13,5631.95,0.02669,0.49856,0.90173,0.8463,0.84041,0.9254,0.92536,0.21094,0.63994,0.28755,0.00026,0.00026,0.00026
14,6159.36,0.02402,0.44351,0.89578,0.86522,0.85776,0.93235,0.93221,0.22372,0.61202,0.30479,0.0001775,0.0001775,0.0001775
15,6684.68,0.0218,0.41193,0.90035,0.8699,0.85237,0.93547,0.93533,0.21703,0.62534,0.29571,9.5e-05,9.5e-05,9.5e-05
